loai_bds,tieu_de,gia,dien_tich,kich_thuoc,huong,so_tang,so_phong_ngu,so_wc,phap_ly,quan_huyen,dia_chi,nguon
Nhà mặt tiền,"Bán nhà cấp 4 cũ mặt tiền đường Nguyễn Gia Thiều - DT 38m2 ngang 3,6m - Giá 2,5tỷ","2,4 tỷ",38m²,"3,6x11m",Đông,,1 PN,,,Thành phố Quy Nhơn,đường Nguyễn Gia Thiều - DT 38m2 ngang 3,https://alonhadat.com.vn/-dat-goc-2-mat-tien-tran-van-on-quy-nhon-18357896.html
Căn hộ chung cư,"Cần bán căn hộ Grand Center 01 nguyễn Tất Thành Quy Nhơn - 2,5 tỷ, sổ hồng lâu dài","2,5 tỷ",75 m²,,,19 tầng,2 PN,,Sổ hồng,Thành phố Quy Nhơn,Đường Nguyễn Tất Thành,https://alonhadat.com.vn/can-ban-can-ho-grand-center-01-nguyen-tat-thanh-quy-nhon-2-5-ty-so-hong-lau-dai-13173158.html
Nhà trong hẻm,Bán nhà 2 tầng mặt tiền đường Bà Huyện Thanh Quan 107m2,"8,7 tỷ",107 m²,"4,3x25m",Tây,2 tầng,3 PN,,,Thành phố Quy Nhơn,đường Bà Huyện Thanh Quan 107m2 Hôm nay  Bán nhà 2 tầng mặt tiền đường Bà Huyện Thanh Quan  D Diện tích: 107m2 ngang 4,https://alonhadat.com.vn/ban-nha-hem-duong-nguyen-hue-thong-xuan-dieu-60m2-17001834.html
Căn hộ chung cư,Sang nhượng căn hộ TMS Quy Nhơn - GIÁ 950-1150 triệu - Căn trực diện Biển - Full nội thất,"1,15 tỷ",52 m²,,,1 tầng,1 PN,,,Thành phố Quy Nhơn,Đường Nguyễn Huệ,https://alonhadat.com.vn/sang-nhuong-can-ho-tms-quy-nhon-gia-950-1150-trieu-can-truc-dien-bien-full-noi-that-13604168.html
Căn hộ chung cư,"Bán Căn hộ Grand Center Quy Nhơn.1Pn, 1wc. Sổ Hồng Lâu Dài - Tầng 28 1,5tỷ (lỗ giá hđ 1,9)","2,3 tỷ",65 m²,,,12 tầng,2 PN,1 WC,Sổ hồng,Thành phố Quy Nhơn,Đường Nguyễn Tất Thành,https://alonhadat.com.vn/ban-can-ho-grand-center-quy-nhon-65m2-2pn-2wc-so-hong-lau-dai-13076391.html
Nhà mặt tiền,Bán nhà góc 2 mặt tiền đường Lê Bá Trinh và Tú Mỡ,"3,25 tỷ",50m²,"4,8x10,4m",Tây,2 tầng,2 PN,,,Thành phố Quy Nhơn,đường Lê Bá Trinh và Tú Mỡ Hôm nay  BÁN NHÀ 2 MẶT TIỀN – ĐƯỜNG TÚ MỠ & LÊ BÁ TRINH – NHƠN BÌNH,https://alonhadat.com.vn/ban-dat-mat-tien-duong-le-van-thu-81m2-16519295.html
Đất thổ cư/đất ở,"Bán đất view sông Kôn thơ mộng,  trục đường liên xã lộ giới 10m, thuộc xã Phước Quang","1,15 tỷ",312 m²,10x32m,,,,,,Huyện Tuy Phước,đường liên xã lộ giới 10m,https://alonhadat.com.vn/ban-dat-view-song-ha-thanh-tho-mong-truc-duong-lien-xa-lo-gioi-10m-thuoc-xa-phuoc-quang-17288593.html
Đất nền/liền kề/đất dự án,"Bán đất nền khu nhơn hội new city, xã nhơn hội, quy nhơn, bình định.","1,25 tỷ",80 m²,5x16m,Đông,,,,,Thành phố Quy Nhơn,,https://alonhadat.com.vn/ban-dat-nen-khu-nhon-hoi-new-city-xa-nhon-hoi-quy-nhon-binh-dinh--13882092.html
Nhà trong hẻm,"Bán 3 căn nhà hẻm rộng đường Tây Sơn , phường Quang Trung - DT 41m2 , 56m2 , 84m2","2,35 tỷ",56 m²,4x14m,Đông,,2 PN,,,Thành phố Quy Nhơn,đường Tây Sơn,https://alonhadat.com.vn/ban-nha-cap-4-duong-noi-bo-508-tay-son-o-to-dau-truoc-nha-dt-84m2-gia-2-ty-900tr-18540307.html
Căn hộ chung cư,"🏙️ CHỦ GỬI CĂN 2PN ECOLIFE QUY NHƠN – CÓ NỘI THẤT, MUA CHỈ VIỆC Ở NGAY","1,45 tỷ",60 m²,,,19 tầng,2 PN,2 WC,,Thành phố Quy Nhơn,Đường Điện Biên Phủ,https://alonhadat.com.vn/-chu-gui-can-2pn-ecolife-quy-nhon-co-noi-that-mua-chi-viec-o-ngay-17884193.html
Căn hộ chung cư,"Kẹt tiền cần bán gấp căn 46m2 view biển, tầng cao, hướng mát giá 950tr - 1 tỷ 150 full nội",950 triệu,47 m²,4x12m,Đông,42 tầng,1 PN,,,Thành phố Quy Nhơn,Đường Nguyễn Huệ,https://alonhadat.com.vn/ket-tien-can-ban-gap-can-46m2-view-bien-tang-cao-huong-mat-gia-950tr-1-ty-150-full-noi-16601488.html
Đất nền/liền kề/đất dự án,MẶT TIỀN LÊ HỒNG PHONG GẦN QUỐC LỘ 1A - THỊ XÃ AN NHƠN - GIÁ RẺ NHẤT THỊ TRƯỜNG !,31 triệu,125 m²,5x25m,Đông,,,,,Thị xã An Nhơn,ĐƯỜNG LÊ HỒNG PHONG  • TRUNG TÂM THỊ XÃ AN NHƠN - GẦN QUỐC LỘ 1A - GẦN QUẢNG TRƯỜNG TRUNG TÂM THỊ XÃ !  - Vị trí trung tâm,https://alonhadat.com.vn/mat-tien-le-hong-phong-gan-quoc-lo-1a-thi-xa-an-nhon-gia-re-nhat-thi-truong--10868245.html
Căn hộ chung cư,"Giỏ hàng RẺ NHẤT, PHÚ TÀI 2 CENTRAL LIFE QUY NHƠN","1,9 tỷ",54 m²,,,1 tầng,2 PN,,Sổ đỏ,Thành phố Quy Nhơn,Đường Hoàng Văn Thụ,https://alonhadat.com.vn/gio-hang-sang-nhuong-re-nhat-phu-tai-2-central-life-quy-nhon-18241655.html
Nhà trong hẻm,"⛔ NHÀ HẺM TRUNG TÂM QUY NHƠN - 72m2 - NGANG 4,8m - ĐƯỜNG 6M - CÁCH BIỂN 400m - 3 TỶ xxx","3,3 tỷ",72 m²,"4,8x15m",,1 tầng,2 PN,,Sổ đỏ,Thành phố Quy Nhơn,ĐƯỜNG 6M - CÁCH BIỂN 400m - 3 TỶ xxx Hôm nay  ⛔BÁN NHÀ HẺM TRUNG TÂM QUY NHƠN - 72m2 - NGANG 4,https://alonhadat.com.vn/-nha-hem-trung-tam-quy-nhon-72m2-ngang-4-8m-duong-6m-cach-bien-400m-3-ty-xxx-18293957.html
"Biệt thự, nhà liền kề","PHÚ GIA ROYAL PARK QUY NHƠN – BÁN SUẤT ƯU TIÊN MẶT TIỀN TÂY SƠN TT QUY NHƠN  6,X TỶ","6,2 tỷ",85 m²,5x17m,Đông,5 tầng,6 PN,,,Thành phố Quy Nhơn,Đường Tây Sơn,https://alonhadat.com.vn/phu-gia-royal-park-quy-nhon-nha-pho-trung-tam-chi-tu-6-x-ty-suat-uu-tien-18691130.html
Nhà trong hẻm,"bán nhà 6 tầng hẻm nội bộ 7m đg trần văn ơn dt 127m2 ngang 4,9m.giá 15ty",15 tỷ,127 m²,,Đông,6 tầng,28 PN,,,Thành phố Quy Nhơn,Đường Trần Văn Ơn,https://alonhadat.com.vn/ban-lo-dat-hem-3m-52-16-han-mac-tu-dt-60m2-ngang-3-5m-gia-2ty290-16707544.html
"Biệt thự, nhà liền kề","BÁN BIỆT THỰ MAIA QUY NHƠN 2PN, CÓ HỒ BƠI GIÁ HẤP DẪN","6,5 tỷ",225 m²,,,1 tầng,5 PN,,,Thành phố Quy Nhơn,Đường 1 tháng 3,https://alonhadat.com.vn/ban-biet-thu-maia-quy-nhon-2pn-co-ho-boi-gia-hap-dan-13945353.html
Căn hộ chung cư,"Bán căn hộ chung cư ecolife quy nhơn, loại 2 phòng ngủ. Giá 1,24 tỉ","1,24 tỷ",60 m²,4x15m,Tây,9 tầng,2 PN,,,Thành phố Quy Nhơn,Đường Điện Biên Phủ,https://alonhadat.com.vn/ban-can-ho-chung-cu-ecolife-quy-nhon-loai-2-phong-ngu-gia-1-1-ti-13784742.html
Căn hộ chung cư,"Cô Chú chủ nhà cần bán CĂN HỘ ECOLIFE - 2PN View đẹp, hướng mát, ko bị nắng","1,08 tỷ",64 m²,,,1 tầng,2 PN,2 WC,,Thành phố Quy Nhơn,Đường Điện Biên Phủ,https://alonhadat.com.vn/co-chu-chu-nha-can-ban-can-ho-ecolife-2pn-view-song-view-ho-boi-14124055.html
Đất thổ cư/đất ở,Xã Lỗ Thu Hồi Vốn 2️⃣ tỷ 5️⃣ Xã Lỗ Còn 2️⃣Tỷ 1️⃣ 5️⃣0️⃣,23 triệu,120 m²,6x20m,Đông,,,,,Thị xã An Nhơn,Đường 45m. ✅️✅️Sát sân bay Phù cát. 🍀🍀🍀 Mặt tiền QL 19B,https://alonhadat.com.vn/ban-lo-dat-mat-tien-quoc-lo-19b-cach-san-bay-va-cho-1-km-14434352.html
Nhà trong hẻm,Bán nhà nội bộ ô tô đường Phạm Ngọc Thạch 64m2,"6,5 tỷ",64 m²,"4,6x14m",,3 tầng,3 PN,,,Thành phố Quy Nhơn,đường Phạm Ngọc Thạch 64m2 Hôm nay  Bán nhà nội bộ 2 ô tô đường Phạm Ngoch Thạch Diện tích: 64m2 ngang 4,https://alonhadat.com.vn/ban-nha-3-me-mat-tien-duong-tay-son-53m2-huong-tay-nam-8002423.html
Nhà trong hẻm,Bán nhà 1 mê hẻm võ nguyên giáp ngay ngã 5 đống đông dt 56 ngang 9m giá 2ty700,"2,7 tỷ",56 m²,,Tây,1 tầng,4 PN,2 WC,,Thành phố Quy Nhơn,đường võ nguyên giáp  📍 Vị trí cực đẹp ngã ba đống đa trung tâm quy nhơn,https://alonhadat.com.vn/ban-lo-dat-sau-lung-dai-hoc-quang-trung-dt-130m2-gia-1ty850-10312320.html
Đất nền/liền kề/đất dự án,"🔰Cần bán 1102 thôn An hòa, xã nhơn khánh,tx an nhơn, Bình Định",860 triệu,110 m²,"5,5x20m",Tây,,,,,Thị xã An Nhơn,,https://alonhadat.com.vn/-can-ban-1102-thon-an-hoa-xa-nhon-khanh-tx-an-nhon-binh-dinh-18567780.html
Đất nền/liền kề/đất dự án,BÁN ĐẤT DỰ BÁN BẮC HÀ THANH QUY NHƠN - CDT PHÁT ĐẠT,"1,8 tỷ",80 m²,5x16m,,,,,,Huyện Tuy Phước,Đường Quốc Lộ 19,https://alonhadat.com.vn/ban-dat-du-ban-bac-ha-thanh-quy-nhon-cdt-phat-dat-17918980.html
Nhà mặt tiền,"Bán căn nhà 5 tầng cực đẹp, mặt tiền quốc lộ 1A, phường bùi thị xuân, quy nhơn",5 tỷ,150 m²,6x25m,Tây,5 tầng,19 PN,,,Thành phố Quy Nhơn,,https://alonhadat.com.vn/ban-can-nha-5-tang-cuc-dep-mat-tien-quoc-lo-1a-phuong-bui-thi-xuan-quy-nhon-13761802.html
Nhà mặt tiền,"(NGON BỔ RẺ) Bán Nhà 3 Mê 2 Mặt Tiền khu QHDC Gara Quyền Quy Nhơn Nam , 80m2 Giá 5 ty xxz","5,89 tỷ",53 m²,5x16m,,3 tầng,4 PN,,,Thành phố Quy Nhơn,,https://alonhadat.com.vn/-him-ngon-ban-3-lo-l-ke-mat-tien-kinh-doanh-to-huu-phuong-quy-nhon-74m-gia-chi-4-te-ha-18568638.html
"Biệt thự, nhà liền kề",Bán căn biệt thự góc hai mặt tiền đường lê văn thủ phường nhơn bình quy nhơn,"7,6 tỷ",190 m²,10x19m,Đông,2 tầng,2 PN,,,Thành phố Quy Nhơn,đường lê văn thủ phường nhơn bình quy nhơn Hôm nay  𝐂𝐨́ 𝐯𝐢𝐞̣̂𝐜 𝐜𝐚̂̀𝐧 𝐭𝐢𝐞̂̀𝐧 𝐂𝐡𝐮̉ 𝐡𝐚̣ 𝐠𝐢𝐚́ 𝐛𝐚́𝐧 𝐧𝐡𝐚𝐧𝐡 𝐜𝐚̆𝐧 𝐛𝐢𝐞̣̂𝐭 𝐭𝐡𝐮̛̣ 𝐭𝐚̂𝐦 𝐡𝐮𝐲𝐞̂́𝐭 𝐜𝐮̉𝐚 𝐠𝐢𝐚 đ𝐢̀𝐧𝐡.  Diện tích: 190m2 ngang 10m Nhà xây kiên cố,https://alonhadat.com.vn/ban-can-biet-thu-goc-hai-mat-tien-duong-le-van-thu-phuong-nhon-binh-quy-nhon-17774100.html
Nhà trong hẻm,"⛔NHÀ HẺM 3M TRUNG TÂM QUY NHƠN - CÁCH BIỂN 900M - 55m2 - NGANG 4,2m - 1,5 TẦNG ⛔2,x TỶ","2,98 tỷ",55 m²,"4,2x13m",,5 tầng,2 PN,1 WC,Sổ đỏ,Thành phố Quy Nhơn,Đường Nguyễn Thái Học,https://alonhadat.com.vn/-nha-hem-3m-trung-tam-quy-nhon-cach-bien-900m-55m2-ngang-4-2m-1-5-tang-2-x-ty-17936486.html
"Biệt thự, nhà liền kề",BÁN NHÀ 3.5 TẦNG VỪA MỚI HOÀN THIỆN TẠI KHU ĐÔ THỊ CHỢ GÓC - KỀ ĐẠI PHÚ GIA !,"4,6 tỷ",63 m²,"4,5x14m",Đông,5 tầng,3 PN,,,Thành phố Quy Nhơn,,https://alonhadat.com.vn/ban-nha-3-5-tang-vua-moi-hoan-thien-tai-khu-do-thi-cho-goc-ke-dai-phu-gia--17371632.html
Nhà mặt tiền,Bán nhà mặt tiền đường Nguyễn Trãi 51m2,"6,5 tỷ",51 m²,"7x7,3m",Tây,2 tầng,2 PN,,,Thành phố Quy Nhơn,đường Nguyễn Trãi 51m2 Hôm nay  Bán nhà 1 mê cũ mặt tiền đường Nguyễn Trãi phường Lê Lợi gần đường Lê Lợi Diện tích: 51m2 ngang 7m hướng Tây Vị trí: gần biển,https://alonhadat.com.vn/ban-nha-1-me-mat-tien-duong-nguyen-tu-nhu-52m2-15426325.html
Nhà trong hẻm,"Bán đường nội bộ oto 5mét Nguyễn Thái Học p.Ng Văn Cừ. 98m2 ngang 5,3m giá 4,5tỷ","4,5 tỷ",98 m²,"5,3x19m",Tây,,,,Sổ đỏ,Thành phố Quy Nhơn,đường nội bộ oto 5mét Nguyễn Thái Học p.Ng Văn Cừ. 98m2 ngang 5,https://alonhadat.com.vn/ban-duong-noi-bo-oto-5met-nguyen-thai-hoc-p-ng-van-cu-98m2-ngang-5-3m-gia-4-5ty-18493762.html
Căn hộ chung cư,"Căn hộ 3PN Simona Heights Quy Nhơn – cách biển 200m, 87m², giá 3 tỷ tầng thấp - trung",3 tỷ,94 m²,,,20 tầng,3 PN,,,Thành phố Quy Nhơn,Đường Trần Hưng Đạo,https://alonhadat.com.vn/can-ho-3pn-simona-heights-quy-nhon-view-bien-truc-dien-94m-gia-tot-nhat-18324068.html
Căn hộ chung cư,"Cần bán  chung cư thịnh phát quy nhơn, loại căn 2 phòng ngủ. Giá 1,2 tỉ","1,2 tỷ",60 m²,4x15m,Tây,17 tầng,2 PN,,Sổ đỏ,Thành phố Quy Nhơn,Đường Nguyễn Thái Học,https://alonhadat.com.vn/can-ban-chung-cu-thinh-phat-quy-nhon-loai-can-2-phong-ngu-gia-1-3-ti-13784810.html
Nhà trong hẻm,Bán nhà 2 tầng hẻm rộng 10m đg võ văn dũng dt 60m2 giá 4ty650 hướng đông nam,"4,65 tỷ",60m²,,Đông,2 tầng,3 PN,2 WC,,Thành phố Quy Nhơn,Đường Võ Văn Dũng,https://alonhadat.com.vn/ban-nha-me-lo-hoang-van-thuh-dt-54m2-gia-5ty200-10012219.html
Nhà mặt tiền,"Bán căn nhà mặt tiền đường Nguyễn Nhạc, ngay gần biển Trung tâm quy nhơn. Diện tích 74m2.","5,9 tỷ",74 m²,"3,6x20,5m",,1 tầng,2 PN,,,Thành phố Quy Nhơn,đường Nguyễn Nhạc,https://alonhadat.com.vn/ban-can-nha-mat-tien-duong-nguyen-nhac-ngay-gan-bien-trung-tam-quy-nhon-dien-tich-74m2--17575197.html
"Biệt thự, nhà liền kề",🏡 BÁN BIỆT THỰ - NHÀ YẾN 4 TẦNG KHU NHÀ VƯỜN NGHỈ DƯỠNG – PHƯỚC HOÀ - H. TUY PHƯỚC.,"6,5 tỷ",615 m²,,,4 tầng,3 PN,,Sổ đỏ,Huyện Tuy Phước,Đường Tĩnh Lộ 640,https://alonhadat.com.vn/-ban-biet-thu-nha-yen-4-tang-khu-nha-vuon-nghi-duong-phuoc-hoa-h-tuy-phuoc--16375918.html
Nhà mặt tiền,"BÁN CĂN NHÀ MẶT TIỀN ĐƯỜNG PHẠM NGŨ LÃO, TRUNG TÂM THÀNH PHỐ QUY NHƠN. GIÁ TỐT NHẤT.",10 tỷ,164 m²,"6x27,4m",,1 tầng,2 PN,,,Thành phố Quy Nhơn,ĐƯỜNG PHẠM NGŨ LÃO,https://alonhadat.com.vn/ban-dat-so-2-ban-dat-khu-biet-thu-do-thi-xanh-vung-chua-115m2-133m2-va-200m2--16341890.html
"Biệt thự, nhà liền kề",Bán Biệt Thư Mặt Tiền Đường Nguyễn Văn Bé - Trung Tâm Quy Nhơn - P.Trần Hưng Đạo,"9,5 tỷ",134 m²,8x17m,Đông,3 tầng,3 PN,,,Thành phố Quy Nhơn,Đường Nguyễn Văn Bé - Trung Tâm Quy Nhơn - P.Trần Hưng Đạo Hôm nay  -  Biệt thự 3 mê đẹp mặt tiền đường Nguyễn Văn Bé  sạch đẹp ko cống trụ phường Trần Hưng Đạo - Diện tích : 134 m2 .Bao gồm 3 phòng ngủ,https://alonhadat.com.vn/ban-biet-thu-mat-tien-duong-nguyen-van-be-trung-tam-quy-nhon-p-tran-hung-dao-18001673.html
Đất nền/liền kề/đất dự án,"BÁN LÔ ĐẤT 100M2 trục đường chính, khu đô thị long vân. Phường TRẦN QUANG DIỆU, QUY NHƠN.","2,49 tỷ",100 m²,5x20m,Tây,,,,,Thành phố Quy Nhơn,đường chính,https://alonhadat.com.vn/ban-lo-dat-100m2-truc-duong-chinh-khu-do-thi-long-van-phuong-tran-quang-dieu-quy-nhon--17963044.html
Đất nền/liền kề/đất dự án,"Bán lô đất Khu biệt thự đại phú gia quy nhơn, thuộc phường nhơn bình, quy nhơn, bình định.","3,5 tỷ",88 m²,"5x17,6m",Đông,,,,,Thành phố Quy Nhơn,Đường số 01,https://alonhadat.com.vn/ban-lo-dat-duong-so-07-dien-tich-90m2-khu-biet-thu-dai-phu-gia-phuong-nhon-binh-quy-nh-13713208.html
Nhà trong hẻm,"⛔BÁN NHÀ HẺM ÔTÔ NGUYỄN THÁI HỌC - GẦN ĐẠI HỌC QUY NHƠN - 85,3m2 - NGANG 4m ⛔ NHỈNH 4 TỶ","4,3 tỷ",85 m²,4x22m,,1 tầng,2 PN,1 WC,Sổ đỏ,Thành phố Quy Nhơn,Đường Nguyễn Thái Học,https://alonhadat.com.vn/-ban-nha-hem-oto-nguyen-thai-hoc-gan-dai-hoc-quy-nhon-85-3m2-ngang-4m-nhinh-4-ty-17764604.html
Nhà mặt tiền,Còn Duy Nhất giá Cực Rẻ Nhất mặt tiền Nguyễn Thị Định.dt 90m2. Giá 13tỷ xxx,"13,5 tỷ",90 m²,5x19m,Tây,1 tầng,3 PN,,,Thành phố Quy Nhơn,Đường Nguyễn Thị Định Trung Tâm Quy Nhơn Diện tích nhà 90m2 ngang 5m.  Kết cấu Nhà 2 mê phòng ốc rộng rải. Đầy đủ công năng ( đang cho thuê hoạt động kinh doanh buôn bán). Giá chỉ 13tỷ xxx ......  << Xem chi tiết >>   20m1 tầng3 phòng ngủChỗ để xe                                           Giá: 13,https://alonhadat.com.vn/con-duy-nhat-gia-cuc-re-nhat-khu-mat-tien-nguyen-thi-dinh-dt-90m2-gia-12ty-xx-18194419.html
Nhà mặt tiền,"CẦN BÁN CĂN NHÀ MẶT TIỀN ĐƯỜNG ÂU CƠ, thành phố quy nhơn, tỉnh bình định.",5 tỷ,167 m²,"4,8x34,7m",Tây,5 tầng,19 PN,,,Thành phố Quy Nhơn,ĐƯỜNG ÂU CƠ,https://alonhadat.com.vn/cho-thue-kho-xuong-mat-tien-duong-nguyen-man-phuong-nhon-binh-quy-nhon-tinh-binh-dinh--13907725.html
Nhà mặt tiền,"Bán 4 căn nhà mặt tiền đường Vũ Bảo , vị trí kinh doanh - DT 75m2 , 92m2 ,188m2 , 205m2","11,9 tỷ",92 m²,"4,66x19m",Tây,,2 PN,,,Thành phố Quy Nhơn,đường Vũ Bảo,https://alonhadat.com.vn/-can-ban-nha-mat-tien-duong-vu-bao-p-quy-nhon-nam-18243714.html
Nhà mặt tiền,"Góc cua 2 mặt tiền Mai Hắc Đế gần Tây Sơn, 116m2, ngang 10m.",15 tỷ,115 m²,"10x11,35m",Tây,2 tầng,2 PN,,Sổ đỏ,Thành phố Quy Nhơn,Đường Mai Hắc Đế,https://alonhadat.com.vn/goc-cua-2-mat-tien-mai-hac-de-gan-tay-son-116m2-ngang-10m--18217809.html
Nhà mặt tiền,"Bán 2 căn nhà mặt tiền đường Hoa Lư , view trực diện sông - DT 89m2 , 108m2","7,4 tỷ",89 m²,"4x22,2m",Đông,4 tầng,6 PN,,,Thành phố Quy Nhơn,đường Hoa Lư,https://alonhadat.com.vn/can-ban-lo-dat-mat-tien-duong-nguen-man-dt-90m2-ngang-5m-huong-dong-bac-lg-20m-7835163.html
Căn hộ chung cư,cần bán căn TMS giá 1ty2 full nội thất cao cấp view Biển,"1,2 tỷ",52 m²,,Đông,2 tầng,1 PN,,,Thành phố Quy Nhơn,Đường Nguyễn Huệ,https://alonhadat.com.vn/can-ban-can-tms-gia-1ty450-full-noi-that-cao-cap-view-bien-13125441.html
Nhà mặt tiền,🏡 BÁN NHÀ 3 MÊ MẶT TIỀN BÙI XUÂN PHÁI – TRUNG TÂM QUY NHƠN,"7,77 tỷ",75m²,5x15m,Đông,3 tầng,4 PN,,,Thành phố Quy Nhơn,Đường Bùi Xuân Phái,https://alonhadat.com.vn/-ban-nha-3-me-mat-tien-bui-xuan-phai-trung-tam-quy-nhon-18291060.html
Nhà mặt tiền,"Bán nhà mặt tiền đường Hai Bà Trưng 26m2 ,74m2 và 109m2","4,1 tỷ",26 m²,"4,05x6,5m",Bắc,4 tầng,3 PN,,,Thành phố Quy Nhơn,đường Hai Bà Trưng 26m2,https://alonhadat.com.vn/ban-dat-duong-noi-bo-huynh-dang-tho-noi-dai-16432655.html
Đất nền/liền kề/đất dự án,"Bán đất mặt tiền đường chính khu TĐC thôn tân thanh, xã cát hải, huyện phù cát.","1,33 tỷ",200 m²,8x25m,Bắc,,,,,Huyện Phù Cát,đường chính khu TĐC thôn tân thanh,https://alonhadat.com.vn/ban-dat-mat-tien-duong-chinh-khu-tdc-thon-tan-thanh-xa-cat-hai-huyen-phu-cat--15078048.html
Đất thổ cư/đất ở,Bán 2 lô đất liền Kề - Suối ông Sung - ven biển Cát tiến. Giá chỉ 1 tỉ 680 triệu.,"1,68 tỷ",73 m²,5x15m,Đông,,,,,Huyện Phù Cát,Đường Tỉnh lộ 639,https://alonhadat.com.vn/ban-2-lo-dat-lien-ke-suoi-ong-sung-ven-bien-cat-tien-gia-chi-1-ti-680-trieu--18608913.html
Căn hộ chung cư,🌟 CHỈ THANH TOÁN 600TR SỞ HỮU CĂN HỘ CAO CẤP ALTARA RESIDENCES QUY NHƠN – CÁCH BIÊN 200M,38 triệu,60 m²,,Tây,41 tầng,2 PN,,,Thành phố Quy Nhơn,Đường Trần Hưng Đạo,https://alonhadat.com.vn/-so-huu-ngay-can-ho-cao-cap-altara-residences-quy-nhon-dang-cap-tung-chi-tiet--17362873.html
Căn hộ chung cư,Duy nhất vài suất ngoại giao giá tốt chiết khấu 25% tại Simona Heights - cách biển 150m,38 triệu,65 m²,5x13m,Tây,29 tầng,2 PN,,HĐMB,Thành phố Quy Nhơn,Đường Trần Hưng Đạo,https://alonhadat.com.vn/duy-nhat-vai-suat-ngoai-giao-gia-tot-chiet-khau-25-tai-simona-heights-cach-bien-150m-15960529.html
Đất thổ cư/đất ở,"Bán đất thôn vinh quang, xã phước sơn, huyện tuy phước,",800 triệu,80 m²,5x16m,Tây,,,,,Huyện Tuy Phước,đường ven biển cát tiến_diêm vân,https://alonhadat.com.vn/ban-dat-thon-vinh-quang-xa-phuoc-son-huyen-tuy-phuoc--14768623.html
Nhà mặt tiền,"Bán Nhà 2 tầng Mặt Tiền Đường Hoàng Hoa Thám,Phường Thị Nại,TP Quy Nhơn. Giá cực tốt.","6,9 tỷ",83 m²,5x17m,,2 tầng,3 PN,,,Thành phố Quy Nhơn,Đường Hoàng Hoa Thám,https://alonhadat.com.vn/ban-nha-2-tang-mat-tien-duong-hoang-hoa-tham-phuong-thi-nai-tp-quy-nhon-gia-cuc-tot--18287729.html
Căn hộ chung cư,Phú Tai Residence căn 2PN diện tích 72m2 hướng biển đã có sổ đỏ - Được hỗ trợ vay ngânhàng,"2,45 tỷ",72 m²,,Tây,2 tầng,2 PN,2 WC,Sổ đỏ,Thành phố Quy Nhơn,Đường Lê Đức Thọ,https://alonhadat.com.vn/can-2pn-gia-tot-dang-ban-dot-cuoi-ck-cao-ban-giao-noi-that-go-cao-cap-16962322.html
Nhà mặt tiền,"Mở bán 4 căn Nhà mới Ken, Khu dân cư Mới Gara Quyền","6,6 tỷ",100 m²,5x20m,,3 tầng,3 PN,,,Thành phố Quy Nhơn,Đường Tây Sơn - phường Quy Nhơn Nam - Diện tích: Lô 1: 87.5 m2,https://alonhadat.com.vn/mo-ban-4-can-nha-moi-ken-khu-dan-cu-moi-gara-quyen-18493260.html
"Biệt thự, nhà liền kề","Bán Shophouse Mặt tiền Quốc lộ 19C, Phước Thuận, Bình Định","5,5 tỷ",100 m²,,,,,,,Huyện Tuy Phước,Đường Quốc Lộ 19,https://alonhadat.com.vn/ban-shophouse-mat-tien-quoc-lo-19c-phuoc-thuan-binh-dinh-15693520.html
Nhà mặt tiền,Bán căn nhà mặt tiền đường XUÂN DIỆU. VIEW TRỰC DIỆN BIỂN QUY NHƠN. GIÁ SIÊU TỐT,20 tỷ,101 m²,"6,5x15,5m",Đông,1 tầng,1 PN,,,Thành phố Quy Nhơn,đường XUÂN DIỆU. VIEW TRỰC DIỆN BIỂN QUY NHƠN. GIÁ SIÊU TỐT Hôm nay  Bán căn nhà cấp 4,https://alonhadat.com.vn/ban-can-nha-mat-tien-duong-xuan-dieu-view-truc-dien-bien-quy-nhon-gia-sieu-tot-17716167.html
Đất thổ cư/đất ở,"BÁN ĐẤT KHU TĐC TÂN THẮNG, VEN BIỂN TÂN THẮNG, XÃ CÁT HẢI. DIỆN TÍCH 160M2. GIÁ 750 TRIỆU.",750 triệu,160 m²,8x20m,Đông,,,,,Huyện Phù Cát,,https://alonhadat.com.vn/ban-dat-khu-tdc-tan-thang-ven-bien-tan-thang-xa-cat-hai-dien-tich-160m2-gia-750-trieu--15977315.html
Đất thổ cư/đất ở,"Bán đất thôn vinh quang, xã phước sơn, huyện tuy phước, tỉnh bình định.",751 triệu,70 m²,5x14m,Đông,,,,,Huyện Tuy Phước,,https://alonhadat.com.vn/ban-dat-thon-vinh-quang-xa-phuoc-son-huyen-tuy-phuoc-tinh-binh-dinh--14937311.html
Đất thổ cư/đất ở,Mặt tiền Trạng Quỳnh - Gần khu Gara Quyền,"3,75 tỷ",88 m²,5x18m,,,,,,Thành phố Quy Nhơn,đường Trạng Quỳnh - Gần khu dân cư mới Gara Quyền - Diện tích 87.5 m2,https://alonhadat.com.vn/mat-tien-trang-quynh-gan-khu-gara-quyen-18693397.html
